-24201.4177999,106,Rest
-23801.75844,102,Rest
-23764.9908299,74,Rest
-23573.3736401,34,Rest
-23568.3736401,81,Rest
-23540.3736401,38,Rest
-23539.3736801,38,Rest
-23476.9188399,50,Rest
-23471.9188399,81,Rest
-23466.9181099,88,Rest
-23304.5102701,62,Rest
-23209.4212999,74,Rest
-23133.28531,102,Rest
-23128.28531,107,Rest
-23078.9962201,77,Rest
-23073.9962201,81,Rest
-2878.89934993,83,Rest
-2873.89931989,82,Rest
-2748.77200007,75,Rest
-2436.85402989,69,Rest
-2179.8538599,64,Rest
-1816.97905993,68,Rest
-1507.47947001,72,Rest
-1379.60447001,75,Rest
-1045.60421991,64,Rest
-987.021320105,82,Rest
-983.021290064,82,Rest
-981.021290064,82,Rest
-925.021290064,83,Rest
-924.021290064,83,Rest
-914.021320105,77,Rest
-909.021290064,69,Rest
-906.021290064,68,Rest
-897.092329979,68,Rest
-887.09236002,68,Rest
-884.092329979,68,Rest
-881.092329979,68,Rest
-876.092329979,68,Rest
-870.09236002,68,Rest
-865.092329979,68,Rest
-858.092329979,75,Rest
-851.09236002,74,Rest
-846.092329979,76,Rest
-842.092329979,75,Rest
-837.09236002,74,Rest
-830.09236002,74,Rest
-825.092329979,71,Rest
-822.092329979,70,Rest
-819.092329979,71,Rest
-814.09236002,68,Rest
-809.09236002,68,Rest
-804.092329979,68,Rest
-795.092329979,76,Rest
-794.092329979,75,Rest
-788.092329979,64,Rest
-781.092329979,76,Rest
-774.09236002,65,Rest
-768.09236002,65,Rest
-763.092329979,71,Rest
-760.092329979,70,Rest
-757.092329979,71,Rest
-749.09236002,74,Rest
-746.092329979,73,Rest
-741.092329979,74,Rest
-731.09236002,73,Rest
-730.09236002,73,Rest
-725.092329979,73,Rest
-718.092329979,74,Rest
-715.092329979,74,Rest
-706.092329979,74,Rest
-701.092329979,75,Rest
-700.092329979,76,Rest
-694.09236002,82,Rest
-685.092329979,81,Rest
-684.092329979,81,Rest
-677.092329979,69,Rest
-673.09236002,67,Rest
-659.092329979,69,Rest
-653.09236002,69,Rest
-651.09236002,70,Rest
-647.09236002,69,Rest
-642.092329979,69,Rest
-632.09236002,69,Rest
-629.09236002,70,Rest
-625.092329979,73,Rest
-620.092329979,73,Rest
-611.09236002,73,Rest
-609.09236002,73,Rest
-604.092329979,73,Rest
-596.09236002,73,Rest
-593.09236002,74,Rest
-588.09236002,74,Rest
-580.092329979,75,Rest
-574.092329979,75,Rest
-573.09236002,75,Rest
-565.092329979,75,Rest
-560.092329979,76,Rest
-558.092329979,76,Rest
-548.09236002,76,Rest
-543.092329979,76,Rest
-541.092329979,75,Rest
-532.09236002,73,Rest
-529.09236002,73,Rest
